"ИД";"УРОВЕНЬ";"ДАТА_ГОС";"КВАЛ_ИД";"НС_ИД";"ТС_ИД";"НАПС_ИД";"КТО_СОЗДАЛ";"КОГДА_СОЗДАЛ";"КТО_ИЗМЕНИЛ";"КОГДА_ИЗМЕНИЛ";"ПРИМЕЧАНИЕ"
74;3;2000-03-01 00:00:00.000;3;16;3;3646;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
143;3;1995-03-01 00:00:00.000;3;5;6;68;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
144;3;1995-03-01 00:00:00.000;3;89;6;68;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
145;3;1995-03-01 00:00:00.000;3;92;6;68;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
69;3;1995-03-01 00:00:00.000;10;103;3;3646;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
75;3;2000-03-01 00:00:00.000;10;103;3;3646;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
50;3;2000-03-01 00:00:00.000;1;62;1;3648;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
2904;2;2005-02-01 00:00:00.000;2;316;2;3613;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
2074;3;2005-02-01 00:00:00.000;3;316;3;3613;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3257;3;2005-02-01 00:00:00.000;3;305;6;2074;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3258;3;2005-02-01 00:00:00.000;3;389;6;2074;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3259;3;2005-02-01 00:00:00.000;3;392;6;2074;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
2700;3;2005-02-01 00:00:00.000;1;308;4;3613;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
2792;3;2005-02-01 00:00:00.000;1;409;5;2700;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3473;3;2005-05-01 00:00:00.000;3;302;3;3608;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3666;3;2010-05-01 00:00:00.000;3;741;3;;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3492;3;2007-03-01 00:00:00.000;3;656;6;2074;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3499;3;2008-09-01 00:00:00.000;3;673;6;2074;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3524;3;2005-02-01 00:00:00.000;3;421;3;3594;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3526;3;2008-03-01 00:00:00.000;24;696;3;3613;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3249;3;2005-02-01 00:00:00.000;1;319;5;2700;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3250;3;2005-02-01 00:00:00.000;1;366;5;2700;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3251;3;2005-02-01 00:00:00.000;1;393;5;2700;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
2898;3;2005-02-01 00:00:00.000;1;391;4;3613;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3118;3;2005-02-01 00:00:00.000;6;341;4;3597;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
