"ИД";"ЧЛВК_ИД";"ПРИЗНАК";"СОСТОЯНИЕ";"НАЧАЛО";"КОНЕЦ";"ПЛАН_ИД";"ГРУППА";"П_ПРКОК_ИД";"ВИД_ОБУЧ_ИД";"ПРИМЕЧАНИЕ";"КТО_СОЗДАЛ";"КОГДА_СОЗДАЛ";"КТО_ИЗМЕНИЛ";"КОГДА_ИЗМЕНИЛ";"КОНЕЦ_ПО_ПРИКАЗУ";"ВМЕСТО";"В_СВЯЗИ_С";"ТЕКСТ"
67552;134485;обучен;отменен;2004-09-01 00:00:00.000;2005-08-31 00:00:00.000;2142;"1100";200179;1; # отменен ПП 201356, Уч_ид 71597;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2005-08-31 00:00:00.000;;71597;
67579;134596;обучен;отменен;2004-09-01 00:00:00.000;2005-08-31 00:00:00.000;2142;"1100";200179;1; # отменен ПП 201356, Уч_ид 71598;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2005-08-31 00:00:00.000;;71598;
73453;119462;обучен;утвержден;2004-09-01 00:00:00.000;2005-08-31 00:00:00.000;2358;"5111";201715;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2005-08-31 00:00:00.000;;93543;
73457;119338;обучен;утвержден;2004-09-01 00:00:00.000;2005-08-31 00:00:00.000;2358;"5111";201715;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2005-08-31 00:00:00.000;;93538;
74770;132124;обучен;утвержден;2004-09-01 00:00:00.000;2005-08-31 00:00:00.000;2365;"2895";202296;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2005-08-31 00:00:00.000;;92714;
74771;132135;обучен;утвержден;2004-09-01 00:00:00.000;2005-08-31 00:00:00.000;2365;"2895";202296;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2005-08-31 00:00:00.000;;92715;
58761;116601;академ;утвержден;2004-01-21 00:00:00.000;2004-09-01 00:00:00.000;1852;"5896";187057;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2004-08-31 00:00:00.000;;76776;
58415;118704;отчисл;утвержден;2004-02-01 00:00:00.000;2004-02-08 00:00:00.000;1656;"5102";186233;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;9999-09-09 00:00:00.000;;58927;
58724;115245;отчисл;утвержден;2004-02-01 00:00:00.000;2004-04-26 00:00:00.000;1695;"6101";186768;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;9999-09-09 00:00:00.000;;60267;
58495;121973;продлен;утвержден;2003-12-01 00:00:00.000;2004-01-30 00:00:00.000;1655;"5101";186519;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2004-02-01 00:00:00.000;;58755;
71505;133808;обучен;утвержден;2004-09-01 00:00:00.000;2005-08-31 00:00:00.000;2142;"1101";201343;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2005-08-31 00:00:00.000;;91192;
71506;133873;обучен;утвержден;2004-09-01 00:00:00.000;2005-08-31 00:00:00.000;2142;"1101";201343;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2005-08-31 00:00:00.000;;91193;
71507;133890;обучен;утвержден;2004-09-01 00:00:00.000;2005-08-31 00:00:00.000;2142;"1101";201343;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2005-08-31 00:00:00.000;;91194;
71508;134003;обучен;утвержден;2004-09-01 00:00:00.000;2005-08-31 00:00:00.000;2142;"1101";201343;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2005-08-31 00:00:00.000;;91195;
71509;134008;обучен;утвержден;2004-09-01 00:00:00.000;2005-08-31 00:00:00.000;2142;"1101";201343;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2005-08-31 00:00:00.000;;91196;
71510;134062;обучен;утвержден;2004-09-01 00:00:00.000;2005-08-31 00:00:00.000;2142;"1101";201343;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2005-08-31 00:00:00.000;;91197;
